tic_id,hostname,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_teff,st_tefferr1,st_tefferr2,sy_dist,pl_letter,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,tran_flag,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
"TIC 137219378","Kepler-376",1.175000,0.234000,-0.234000,0.968000,0.025000,-0.023000,5900.00,100.00,-100.00,923.06700000,"c",14.17232700000,0.00010800000,-0.00010800000,1.79000000,0.36000000,-0.36000000,3.86000000,,,"M-R relationship",87.71000,,,0.000000,,,1,2454975.59795000,0.00444000,-0.00444000
"TIC 309792357","TOI-199",0.820000,0.003000,-0.003000,0.936000,0.003000,-0.005000,5255.00,12.00,-10.00,102.27000000,"b",104.85400000000,0.00100000000,-0.00200000000,9.07927437,0.05604490,-0.05604490,54.03082919,6.35656814,-6.35656814,"Mass",90.00000,,,0.090000,0.010000,-0.020000,1,2458256.12860000,0.00060000,-0.00060000
,"KMT-2021-BLG-1077L",,,,0.140000,0.190000,-0.070000,,,,8240.00000000,"b",,,,9.86000000,,,69.92224954,98.52680617,-38.13940884,"Mass",,,,,,,0,,,
"TIC 176899385","HAT-P-6",1.620000,0.170000,-0.170000,1.790000,0.600000,-0.600000,6570.00,80.00,-80.00,275.35800000,"b",3.85298000000,0.00000500000,-0.00000500000,16.58932000,1.68135000,-1.68135000,419.53560000,95.34900000,-95.34900000,"Mass",85.51000,0.35000,-0.35000,0.000000,,,1,2456100.88331000,0.00020000,-0.00020000
"TIC 271770315","Kepler-1237",0.900000,0.118000,-0.056000,0.940000,0.044000,-0.044000,5472.00,73.56,-109.10,1064.31000000,"b",84.57332260000,0.00064800000,-0.00064800000,2.86000000,0.39000000,-0.21000000,8.55000000,,,"M-R relationship",89.99000,,,0.000000,,,1,2454983.15332000,0.00706000,-0.00706000
"TIC 347332255","HD 110067",0.788000,0.008000,-0.008000,0.798000,0.042000,-0.042000,5266.00,64.00,-64.00,32.15850000,"f",41.05854000000,0.00010000000,-0.00010000000,2.60100000,0.04200000,-0.04200000,5.04000000,1.89000000,-1.94000000,"Mass",89.67300,0.04600,-0.04600,,,,1,2459641.57630000,0.00100000,-0.00100000
"TIC 184471242","Kepler-58",1.127000,0.526000,-0.526000,1.024000,0.024000,-0.027000,6099.00,200.00,-200.00,969.25200000,"d",40.10137100000,0.00061200000,-0.00061200000,2.94000000,1.40000000,-1.40000000,245.34300000,,,"Mass",88.44000,,,0.000000,,,1,2454965.71799000,0.00903000,-0.00903000
"TIC 123490545","Kepler-128",1.659000,0.038000,-0.038000,1.184000,0.074000,-0.074000,6072.00,75.00,-75.00,396.37900000,"c",22.80000000000,,,1.52100000,0.04700000,-0.04700000,3.38000000,0.67000000,-0.59000000,"Mass",89.53000,,,0.037000,0.026000,-0.030000,1,2454986.37812000,0.00390000,-0.00390000
"TIC 399821807","Kepler-1849",0.729000,0.051000,-0.070000,0.709000,0.080000,-0.058000,4806.00,144.00,-129.00,631.88400000,"b",57.29290009000,,,2.38685349,,,6.29000000,,,"M-R relationship",89.99000,,,0.000000,,,1,2454979.23112000,0.00626000,-0.00626000
"TIC 159522175","Kepler-316",0.520000,0.052000,-0.052000,0.587000,0.014000,-0.014000,4204.00,200.00,-200.00,384.93800000,"c",6.82776600000,0.00003400000,-0.00003400000,1.16000000,0.12000000,-0.12000000,1.65000000,,,"M-R relationship",89.09000,,,0.000000,,,1,2454971.61401000,0.00268000,-0.00268000
